"nearest_school","school_type","children_served","avg_walk_time_min","n_points_served","geom"
"Melba","high",2751.9,33.9503409748134,106,c(149.0470231, -35.2136279)
"Caroline Chisholm","high",2618.8,29.7478243794379,68,c(149.1193667, -35.4188329)
"Lanyon","high",1638.2,28.2819430334551,38,c(149.0929233, -35.4605807)
"Stromlo","high",1578.8,42.5588684967452,119,c(149.0516136, -35.3547094)
"Calwell","high",1501.2,24.2249814903366,31,c(149.1150207, -35.4407786)
"Wanniassa","high",1466.3,27.6789925000198,32,c(149.0837932, -35.3961431)
"Gold Creek","high",1336.3,49.0317236211212,100,c(149.0892577, -35.1799884)
"Melrose","high",1248.2,28.0590879668775,88,c(149.0861914, -35.3626372)
"Telopea Park","high",1113.8,32.4966924399613,103,c(149.1311363, -35.3137041)
"Kambah","high",1076.6,29.2765998581308,15,c(149.0653375, -35.3920134)
"Lyneham","high",1023.6,31.7416681176717,66,c(149.1279431, -35.2524674)
"Alfred Deakin","high",944.6,38.4967741414639,65,c(149.0926153, -35.3239206)
"Ginninderra","high",897.7,39.6564980776283,70,c(149.0208201, -35.2277414)
"Kaleen","high",892.4,24.0877679638935,35,c(149.1012824, -35.2252162)
"Canberra","high",638.8,40.8184014117322,81,c(149.0707514, -35.2506565)
"Belconnen","high",616.6,22.0948413587518,42,c(149.036645, -35.2470866)
"Campbell","high",614.2,28.8117753807445,82,c(149.1443007, -35.2779224)
"Harrison","high",271.6,42.4284558461421,89,c(149.1497023, -35.1996408)
"Alternative Education Program","high",0,NA,0,c(149.0271691, -35.3876491)
"Charles Conder","primary",934.2,16.8448737611868,19,c(149.0982445, -35.4646698)
"Mt Neighbour","primary",867.7,17.7877524123135,10,c(149.0618328, -35.394027)
"Ngunnawal","primary",746.4,36.664501744278,71,c(149.10622, -35.1687183)
"Calwell","primary",744.2,13.8853715718929,12,c(149.1083403, -35.4386589)
"Gordon","primary",736.4,14.5727211781725,9,c(149.0866808, -35.4566028)
"Palmerston","primary",687.6,17.9588958847178,27,c(149.1183738, -35.1974687)
"Florey","primary",652.7,15.8019837426092,24,c(149.0527847, -35.226326)
"Gilmore","primary",632.5,22.3498098934281,21,c(149.1345294, -35.4188393)
"Wanniassa Hills","primary",606.7,14.6262457909761,10,c(149.0959728, -35.3929717)
"Theodore","primary",558.2,16.0962810043105,11,c(149.1181744, -35.4474379)
"Bonython","primary",528.6,17.4012158192335,14,c(149.0833263, -35.4312678)
"Gold Creek","primary",477.6,16.7794494293477,11,c(149.0993036, -35.1814147)
"Isabella Plains","primary",458.1,14.7917572088452,10,c(149.088214, -35.42835)
"Narrabundah","primary",443.1,32.9239116676614,28,c(149.1346509, -35.3340565)
"Richardson","primary",442.8,12.6434570944632,11,c(149.1095852, -35.428604)
"Charnwood","primary",441.5,15.2533386637676,18,c(149.0355964, -35.1993489)
"Kaleen","primary",437.3,16.5471650631531,13,c(149.1106673, -35.2240194)
"Arawang","primary",417.7,12.1373820383161,28,c(149.0588281, -35.3541879)
"Miles Franklin","primary",417.2,15.3719305556463,14,c(149.0652295, -35.213207)
"Farrer","primary",401.4,19.0060307934233,22,c(149.1068828, -35.3783817)
"Latham","primary",369.2,12.9401828729243,13,c(149.0318377, -35.2198986)
"Monash","primary",358.6,18.2428185570526,16,c(149.0790973, -35.4148401)
"Majura","primary",358.4,24.4006753314041,29,c(149.1529142, -35.2380831)
"North Ainslie","primary",349.8,12.1183143679553,21,c(149.1444493, -35.2544831)
"Macgregor","primary",337.5,28.3000814971546,32,c(149.0097545, -35.2126045)
"Chisholm","primary",317.7,10.1075588245522,6,c(149.1223385, -35.4199319)
"Fadden","primary",307.5,21.7880102866171,16,c(149.1183272, -35.4039221)
"Weston","primary",294.9,20.3331173181077,18,c(149.0550285, -35.3374011)
"Duffy","primary",294.7,39.979821404907,53,c(149.0331774, -35.3349207)
"Gowrie","primary",288.9,8.50360030119512,10,c(149.1110054, -35.412839)
"Curtin","primary",276.7,24.650459605925,17,c(149.0797714, -35.3311447)
"Evatt","primary",273.1,11.9075208383417,10,c(149.0753689, -35.206991)
"Aranda","primary",271.1,28.6398053155262,30,c(149.0792638, -35.2562061)
"Mawson","primary",267.7,13.7853062220066,18,c(149.0929883, -35.3585287)
"Wanniassa","primary",253.6,18.0110231936397,7,c(149.0851303, -35.3985034)
"Rivett","primary",251.5,8.98461811591993,13,c(149.0372201, -35.3487496)
"Giralang","primary",247.6,11.697827525698,14,c(149.0951123, -35.2139174)
"Flynn","primary",239.7,9.91040323814394,10,c(149.0447569, -35.2067262)
"Spence","primary",231.4,27.5224989683161,20,c(149.063001, -35.1995111)
"Hughes","primary",225.8,14.4379949535874,15,c(149.0925203, -35.3318231)
"Ainslie","primary",224.2,16.4732810344783,37,c(149.1393399, -35.2737703)
"Hackett","primary",216.6,12.8935233350227,12,c(149.1629363, -35.2501744)
